"";"table";"number";"date";"currency.name";"currency.code";"currency.mid";"trading_date";"currency.ask";"currency.bid"
"1";"A";"001/A/NBP/2017";"2017-01-02";"bat (Tajlandia)";"THB";0,1175;NA;NA;NA
"2";"A";"001/A/NBP/2017";"2017-01-02";"dolar amerykañski";"USD";4,2106;NA;NA;NA
"3";"A";"001/A/NBP/2017";"2017-01-02";"dolar australijski";"AUD";3,0187;NA;NA;NA
"4";"A";"001/A/NBP/2017";"2017-01-02";"dolar Hongkongu";"HKD";0,5428;NA;NA;NA
"5";"A";"001/A/NBP/2017";"2017-01-02";"dolar kanadyjski";"CAD";3,1402;NA;NA;NA
"6";"A";"001/A/NBP/2017";"2017-01-02";"dolar nowozelandzki";"NZD";2,9146;NA;NA;NA
"7";"A";"001/A/NBP/2017";"2017-01-02";"dolar singapurski";"SGD";2,9039;NA;NA;NA
"8";"A";"001/A/NBP/2017";"2017-01-02";"euro";"EUR";4,4157;NA;NA;NA
"9";"A";"001/A/NBP/2017";"2017-01-02";"forint (Wêgry)";"HUF";0,01427;NA;NA;NA
"10";"A";"001/A/NBP/2017";"2017-01-02";"frank szwajcarski";"CHF";4,1209;NA;NA;NA
"11";"A";"001/A/NBP/2017";"2017-01-02";"funt szterling";"GBP";5,1925;NA;NA;NA
"12";"A";"001/A/NBP/2017";"2017-01-02";"hrywna (Ukraina)";"UAH";0,1554;NA;NA;NA
"13";"A";"001/A/NBP/2017";"2017-01-02";"jen (Japonia)";"JPY";0,035858;NA;NA;NA
"14";"A";"001/A/NBP/2017";"2017-01-02";"korona czeska";"CZK";0,1634;NA;NA;NA
"15";"A";"001/A/NBP/2017";"2017-01-02";"korona duñska";"DKK";0,5938;NA;NA;NA
"16";"A";"001/A/NBP/2017";"2017-01-02";"korona islandzka";"ISK";0,037076;NA;NA;NA
"17";"A";"001/A/NBP/2017";"2017-01-02";"korona norweska";"NOK";0,4876;NA;NA;NA
"18";"A";"001/A/NBP/2017";"2017-01-02";"korona szwedzka";"SEK";0,4626;NA;NA;NA
"19";"A";"001/A/NBP/2017";"2017-01-02";"kuna (Chorwacja)";"HRK";0,5847;NA;NA;NA
"20";"A";"001/A/NBP/2017";"2017-01-02";"lej rumuñski";"RON";0,9726;NA;NA;NA
"21";"A";"001/A/NBP/2017";"2017-01-02";"lew (Bu³garia)";"BGN";2,2577;NA;NA;NA
"22";"A";"001/A/NBP/2017";"2017-01-02";"lira turecka";"TRY";1,1904;NA;NA;NA
"23";"A";"001/A/NBP/2017";"2017-01-02";"nowy izraelski szekel";"ILS";1,0936;NA;NA;NA
"24";"A";"001/A/NBP/2017";"2017-01-02";"peso chilijskie";"CLP";0,006289;NA;NA;NA
"25";"A";"001/A/NBP/2017";"2017-01-02";"peso filipiñskie";"PHP";0,0847;NA;NA;NA
"26";"A";"001/A/NBP/2017";"2017-01-02";"peso meksykañskie";"MXN";0,2036;NA;NA;NA
"27";"A";"001/A/NBP/2017";"2017-01-02";"rand (Republika Po³udniowej Afryki)";"ZAR";0,3062;NA;NA;NA
"28";"A";"001/A/NBP/2017";"2017-01-02";"real (Brazylia)";"BRL";1,2938;NA;NA;NA
"29";"A";"001/A/NBP/2017";"2017-01-02";"ringgit (Malezja)";"MYR";0,9387;NA;NA;NA
